NAME,B19083_001E,B19082_001E,B19082_002E,B19082_003E,B19082_004E,B19082_005E,B19082_006E,state,county
"Orleans County, Vermont",0.4409,3.79,9.09,15.62,23.87,47.62,19.75,50,019
"Grand Isle County, Vermont",0.4630,3.26,9.54,15.17,22.08,49.95,24.24,50,013
"Orange County, Vermont",0.4021,4.45,10.29,16.65,24.02,44.59,16.94,50,017
"Chittenden County, Vermont",0.4496,3.54,9.26,15.35,23.39,48.46,21.06,50,007
"Lamoille County, Vermont",0.4762,3.09,8.37,15.14,22.91,50.49,23.69,50,015
"Windsor County, Vermont",0.4616,3.50,9.10,15.02,22.55,49.83,22.99,50,027
"Caledonia County, Vermont",0.4420,4.19,9.40,15.03,23.28,48.10,21.71,50,005
"Tazewell County, Virginia",0.4526,3.80,9.25,14.63,23.10,49.22,21.15,51,185
"Windham County, Vermont",0.4537,3.74,8.85,14.98,23.44,48.99,21.06,50,025
"Addison County, Vermont",0.4128,4.42,10.16,16.19,23.85,45.38,19.14,50,001
"Washington County, Vermont",0.4368,3.68,9.48,15.85,23.81,47.19,19.82,50,023
"Falls Church city, Virginia",0.4527,4.15,9.33,14.11,22.87,49.55,22.42,51,610
"Manassas Park city, Virginia",0.3530,5.50,12.00,17.31,24.28,40.91,14.43,51,685
"Poquoson city, Virginia",0.3813,4.09,10.63,18.30,25.22,41.75,14.78,51,735
"Sussex County, Virginia",0.4286,3.28,9.10,16.16,25.72,45.74,15.85,51,183
"Waynesboro city, Virginia",0.4446,3.72,9.12,15.60,23.77,47.79,20.41,51,820
"Roanoke city, Virginia",0.4774,3.27,8.47,14.51,22.67,51.08,23.43,51,770
"Salem city, Virginia",0.4401,4.06,9.80,15.43,22.62,48.09,22.25,51,775
"Norfolk city, Virginia",0.4957,2.83,8.26,14.17,22.07,52.67,25.26,51,710
"Charlotte County, Virginia",0.4455,3.29,9.10,15.70,24.33,47.58,19.59,51,037
"Fairfax County, Virginia",0.4256,4.02,10.19,15.80,23.23,46.76,19.89,51,059
"Greensville County, Virginia",0.4100,4.13,9.71,16.89,24.43,44.85,16.71,51,081
"James City County, Virginia",0.4527,3.71,9.37,15.17,22.41,49.34,22.16,51,095
"Russell County, Virginia",0.4588,3.17,8.48,15.16,24.53,48.66,19.59,51,167
"Smyth County, Virginia",0.4593,3.36,8.68,15.18,23.77,49.01,20.90,51,173
"Lexington city, Virginia",0.5135,2.38,7.31,13.08,22.96,54.27,22.95,51,678
"Campbell County, Virginia",0.4397,3.77,9.36,15.59,23.78,47.51,20.19,51,031
"Henry County, Virginia",0.4527,3.77,9.14,14.80,23.08,49.21,20.99,51,089
"King George County, Virginia",0.3741,5.01,11.14,17.04,24.80,42.01,15.42,51,099
"Lancaster County, Virginia",0.4972,3.32,7.91,13.44,21.99,53.35,24.78,51,103
"Lee County, Virginia",0.4896,3.15,7.54,13.94,23.82,51.55,22.93,51,105
"Mathews County, Virginia",0.4538,3.40,8.77,15.55,22.80,49.50,18.61,51,115
"Middlesex County, Virginia",0.4553,2.98,9.14,15.61,23.65,48.62,20.40,51,119
"Prince George County, Virginia",0.3963,4.68,10.69,16.05,24.68,43.89,17.19,51,149
"Rockingham County, Virginia",0.4300,4.20,10.19,15.53,22.73,47.35,21.52,51,165
"Scott County, Virginia",0.4436,3.42,8.83,15.50,24.86,47.38,17.96,51,169
"Surry County, Virginia",0.4030,4.30,10.50,16.38,24.53,44.29,17.64,51,181
"Appomattox County, Virginia",0.4242,3.70,9.59,16.55,24.52,45.64,18.47,51,011
"Franklin County, Virginia",0.4591,3.29,9.08,15.30,23.02,49.31,21.81,51,067
"King and Queen County, Virginia",0.4129,3.80,9.86,16.76,25.21,44.37,17.12,51,097
"Montgomery County, Virginia",0.5009,2.08,7.92,14.45,23.10,52.45,23.08,51,121
"New Kent County, Virginia",0.3760,4.90,11.09,16.92,25.10,41.99,15.24,51,127
"Cumberland County, Virginia",0.4399,3.17,9.07,15.58,25.76,46.43,17.85,51,049
"Goochland County, Virginia",0.4796,3.28,8.88,14.42,21.61,51.83,24.81,51,075
"Halifax County, Virginia",0.4342,3.76,9.23,15.53,24.58,46.91,17.89,51,083
"Madison County, Virginia",0.4618,3.83,9.41,14.38,21.65,50.73,23.39,51,113
"Prince William County, Virginia",0.3809,4.78,11.10,16.99,24.37,42.76,15.70,51,153
"Southampton County, Virginia",0.3965,4.06,10.52,16.87,25.28,43.27,15.58,51,175
"Highland County, Virginia",0.4375,4.31,9.54,14.77,23.18,48.19,20.71,51,091
"Brunswick County, Virginia",0.4395,3.68,8.89,15.92,24.22,47.29,18.36,51,025
"Caroline County, Virginia",0.4088,4.72,10.84,15.97,22.85,45.62,20.69,51,033
"Gloucester County, Virginia",0.3969,4.38,10.71,16.55,24.47,43.88,16.76,51,073
"Northampton County, Virginia",0.4694,3.34,8.76,14.69,22.95,50.27,22.67,51,131
"Patrick County, Virginia",0.4463,3.76,8.50,15.37,24.61,47.75,19.19,51,141
"Powhatan County, Virginia",0.3710,5.11,11.67,17.11,23.56,42.54,15.83,51,145
"Rockbridge County, Virginia",0.4802,3.58,8.53,14.20,21.43,52.25,24.29,51,163
"Shenandoah County, Virginia",0.4158,4.06,10.00,16.45,24.16,45.33,18.27,51,171
"Fauquier County, Virginia",0.4185,4.15,10.13,16.06,23.70,45.96,19.00,51,061
"Charles City County, Virginia",0.5459,2.59,7.49,13.24,19.65,57.03,35.48,51,036
"Culpeper County, Virginia",0.4076,4.13,10.21,16.66,24.26,44.74,17.28,51,047
"Dinwiddie County, Virginia",0.4328,3.67,9.57,15.94,24.08,46.73,19.11,51,053
"Greene County, Virginia",0.4179,4.62,10.32,15.70,23.03,46.32,21.04,51,079
"Hanover County, Virginia",0.3935,4.54,10.84,16.85,23.97,43.80,17.27,51,085
"Lunenburg County, Virginia",0.3901,4.47,10.72,16.74,24.88,43.19,15.82,51,111
"Orange County, Virginia",0.3912,4.48,10.80,16.96,24.52,43.24,16.77,51,137
"Harrisonburg city, Virginia",0.4816,2.96,8.31,14.43,23.15,51.16,22.78,51,660
"Emporia city, Virginia",0.4793,3.61,7.76,13.53,23.18,51.93,20.24,51,595
"Wythe County, Virginia",0.4666,3.55,8.71,14.86,23.09,49.80,23.62,51,197
"Chesapeake city, Virginia",0.4073,4.30,10.51,16.39,23.84,44.95,18.30,51,550
"Albemarle County, Virginia",0.4809,3.31,8.58,14.05,22.17,51.89,23.30,51,003
"Bedford County, Virginia",0.4322,3.91,9.96,15.78,23.20,47.16,20.37,51,019
"Botetourt County, Virginia",0.4156,3.90,10.05,16.31,24.48,45.26,17.36,51,023
"Wise County, Virginia",0.4850,3.05,8.18,14.50,22.60,51.68,23.64,51,195
"Bristol city, Virginia",0.4711,3.32,8.65,14.60,22.19,51.24,21.03,51,520
"Portsmouth city, Virginia",0.4242,3.63,9.75,16.34,24.50,45.78,17.83,51,740
"Williamsburg city, Virginia",0.5181,2.27,7.82,13.15,21.77,55.00,25.14,51,830
"Alleghany County, Virginia",0.4468,3.27,8.81,15.57,24.88,47.47,18.59,51,005
"Carroll County, Virginia",0.4586,3.72,9.26,15.16,22.37,49.49,24.15,51,035
"Washington County, Virginia",0.4426,3.76,9.23,15.22,23.85,47.94,19.55,51,191
"Northumberland County, Virginia",0.4462,3.35,9.25,15.59,23.75,48.06,19.53,51,133
"Page County, Virginia",0.4274,4.18,9.78,15.63,23.51,46.90,19.34,51,139
"Warren County, Virginia",0.3979,4.18,10.58,16.63,24.91,43.70,15.88,51,187
"Alexandria city, Virginia",0.4443,3.78,9.57,15.17,22.96,48.53,20.73,51,510
"Fredericksburg city, Virginia",0.4600,3.02,9.01,15.05,23.53,49.38,19.79,51,630
"Hampton city, Virginia",0.4313,3.60,9.83,15.91,23.97,46.68,18.96,51,650
"Arlington County, Virginia",0.4355,3.66,9.97,15.72,23.16,47.50,20.17,51,013
"Hopewell city, Virginia",0.4461,3.46,9.08,15.05,24.49,47.92,18.51,51,670
"Buchanan County, Virginia",0.4645,3.42,8.42,14.08,24.13,49.94,19.48,51,027
"Frederick County, Virginia",0.3926,4.74,10.82,16.48,24.14,43.81,17.20,51,069
"Stafford County, Virginia",0.3702,4.96,11.08,17.43,24.89,41.64,14.46,51,179
"York County, Virginia",0.3756,4.98,11.17,17.08,24.54,42.24,15.77,51,199
"Richmond city, Virginia",0.5381,2.29,7.04,12.71,21.26,56.71,27.80,51,760
"Nelson County, Virginia",0.4833,2.75,8.51,15.12,22.44,51.18,24.65,51,125
"Pittsylvania County, Virginia",0.4338,3.88,9.67,15.62,23.73,47.10,19.89,51,143
"Norton city, Virginia",0.5088,3.09,7.04,12.81,22.98,54.08,22.89,51,720
"Fluvanna County, Virginia",0.4611,4.07,9.59,14.81,21.08,50.44,25.63,51,065
"Amelia County, Virginia",0.4218,3.32,9.79,16.27,25.68,44.94,16.31,51,007
"Winchester city, Virginia",0.4493,4.17,9.22,14.38,22.50,49.73,20.27,51,840
"Accomack County, Virginia",0.4382,3.87,9.48,15.25,23.73,47.67,19.46,51,001
"Floyd County, Virginia",0.4157,3.83,10.02,16.14,24.72,45.29,16.43,51,063
"Grayson County, Virginia",0.4588,3.90,8.88,14.35,22.69,50.19,20.94,51,077
"Nottoway County, Virginia",0.5133,2.93,8.13,13.54,20.96,54.44,29.10,51,135
"Harrison County, West Virginia",0.4541,3.49,8.80,15.13,23.81,48.77,20.19,54,033
"Ohio County, West Virginia",0.4904,2.81,8.20,13.98,23.12,51.89,23.41,54,069
"Calhoun County, West Virginia",0.4423,4.03,8.77,15.12,24.24,47.83,19.57,54,013
"Morgan County, West Virginia",0.4182,4.78,9.93,15.60,23.38,46.31,20.06,54,065
"Raleigh County, West Virginia",0.4604,3.68,8.64,14.66,23.50,49.51,21.24,54,081
"Braxton County, West Virginia",0.4313,3.54,8.94,15.91,25.38,46.23,16.03,54,007
"Barbour County, West Virginia",0.4777,3.56,8.08,13.97,22.57,51.82,20.86,54,001
"McDowell County, West Virginia",0.4610,3.46,9.06,14.53,22.64,50.31,20.45,54,047
"Wayne County, West Virginia",0.4914,2.57,7.50,14.60,24.20,51.14,22.20,54,099
"Wyoming County, West Virginia",0.4401,3.60,8.97,15.62,24.59,47.22,18.26,54,109
"Jackson County, West Virginia",0.4572,3.11,8.73,14.98,24.55,48.63,19.55,54,035
"Mercer County, West Virginia",0.4417,3.90,8.91,15.30,24.10,47.78,19.17,54,055
"Upshur County, West Virginia",0.4470,3.47,9.24,15.28,23.76,48.24,19.62,54,097
"Webster County, West Virginia",0.4747,3.13,7.77,15.06,24.24,49.79,21.85,54,101
"Berkeley County, West Virginia",0.3940,4.39,10.67,16.79,24.59,43.56,16.31,54,003
"Fayette County, West Virginia",0.4340,3.93,9.35,15.67,23.68,47.37,18.81,54,019
"Grant County, West Virginia",0.4251,4.12,9.33,15.50,24.86,46.20,17.27,54,023
"Hampshire County, West Virginia",0.4275,4.05,9.66,15.47,24.18,46.65,18.12,54,027
"Summers County, West Virginia",0.4273,4.38,9.75,15.12,23.09,47.66,18.18,54,089
"Brooke County, West Virginia",0.3897,4.19,10.34,17.34,25.89,42.26,14.84,54,009
"Doddridge County, West Virginia",0.4176,4.34,9.72,15.98,24.06,45.89,18.02,54,017
"Mineral County, West Virginia",0.4083,3.92,10.20,16.75,24.82,44.31,17.14,54,057
"Greenbrier County, West Virginia",0.4660,3.73,8.83,14.52,22.25,50.66,22.76,54,025
"Hardy County, West Virginia",0.4327,4.90,10.27,14.58,22.19,48.07,23.95,54,031
"Marion County, West Virginia",0.4427,3.72,8.92,15.42,24.20,47.74,18.84,54,049
"Mingo County, West Virginia",0.4703,3.44,8.26,14.35,23.39,50.55,20.85,54,059
"Hancock County, West Virginia",0.4256,4.24,9.67,15.69,23.40,47.01,18.54,54,029
"Lewis County, West Virginia",0.4542,3.32,9.45,14.83,23.16,49.23,20.46,54,041
"Nicholas County, West Virginia",0.4480,3.60,9.16,14.90,23.72,48.62,19.21,54,067
"Pocahontas County, West Virginia",0.4556,4.12,9.09,14.52,22.54,49.73,22.55,54,075
"Tyler County, West Virginia",0.4669,3.66,8.70,14.31,23.46,49.87,23.05,54,095
"Randolph County, West Virginia",0.5013,3.25,8.02,13.66,21.33,53.74,26.92,54,083
"Taylor County, West Virginia",0.4295,3.78,9.30,15.96,24.53,46.44,17.67,54,091
"Wirt County, West Virginia",0.3960,4.75,10.21,16.90,23.89,44.25,16.74,54,105
"Clay County, West Virginia",0.4336,3.94,8.87,16.10,24.04,47.05,18.15,54,015
"Gilmer County, West Virginia",0.4384,3.43,8.86,15.29,25.65,46.78,16.22,54,021
"Monongalia County, West Virginia",0.5261,2.12,7.37,13.18,22.09,55.25,25.75,54,061
"Monroe County, West Virginia",0.4386,4.24,9.40,14.59,23.87,47.91,19.70,54,063
"Wetzel County, West Virginia",0.4387,3.50,9.25,15.24,24.78,47.23,17.59,54,103
"Cabell County, West Virginia",0.5052,2.60,7.48,13.63,23.14,53.15,23.68,54,011
"Kanawha County, West Virginia",0.4797,3.38,8.40,14.12,22.50,51.60,23.44,54,039
"Pendleton County, West Virginia",0.4620,3.95,8.82,14.80,21.95,50.48,22.86,54,071
"Preston County, West Virginia",0.4230,3.78,9.86,15.93,24.38,46.05,17.61,54,077
"Kitsap County, Washington",0.4258,3.86,10.04,16.10,23.48,46.52,19.39,53,035
"King County, Washington",0.4663,3.24,8.86,14.86,22.94,50.09,22.02,53,033
"Pend Oreille County, Washington",0.4302,3.75,9.69,15.63,24.00,46.93,17.92,53,051
"San Juan County, Washington",0.4969,3.19,8.28,13.77,21.39,53.37,26.20,53,055
"Whitman County, Washington",0.5015,2.07,7.20,14.35,24.46,51.93,21.17,53,075
"Yakima County, Washington",0.4450,4.01,9.69,15.00,22.55,48.76,22.06,53,077
"Cowlitz County, Washington",0.4401,3.74,9.25,15.48,23.97,47.57,19.27,53,015
"Ferry County, Washington",0.4510,3.19,8.84,15.06,24.32,48.59,17.33,53,019
"Lewis County, Washington",0.4252,3.94,9.80,15.79,24.30,46.16,18.60,53,041
"Grays Harbor County, Washington",0.4451,3.61,9.39,15.39,23.50,48.11,20.70,53,027
"Island County, Washington",0.4244,4.06,10.22,15.78,23.29,46.66,19.60,53,029
"Wahkiakum County, Washington",0.4103,4.60,10.20,15.97,23.93,45.30,19.06,53,069
"Franklin County, Washington",0.4046,4.43,10.63,16.31,23.91,44.73,18.39,53,021
"Grant County, Washington",0.4227,4.28,9.95,15.75,23.55,46.47,19.45,53,025
"Whatcom County, Washington",0.4463,3.46,9.31,15.59,23.49,48.15,20.25,53,073
"Okanogan County, Washington",0.4320,3.79,9.43,15.86,23.97,46.95,18.41,53,047
"Kittitas County, Washington",0.4442,2.93,9.31,16.28,24.24,47.23,19.11,53,037
"Benton County, Washington",0.4303,3.80,9.74,15.77,23.84,46.86,18.78,53,005
"Columbia County, Washington",0.4667,3.32,8.45,14.85,23.18,50.20,20.72,53,013
"Asotin County, Washington",0.4312,3.95,9.66,15.42,23.95,47.02,18.92,53,003
"Garfield County, Washington",0.3661,4.82,11.04,18.03,25.14,40.97,13.90,53,023
"Mason County, Washington",0.4195,3.89,9.77,16.36,24.40,45.59,17.60,53,045
"Stevens County, Washington",0.4360,3.63,9.45,15.76,23.80,47.36,18.51,53,065
"Spokane County, Washington",0.4564,3.56,9.11,14.98,23.10,49.26,21.74,53,063
"Chelan County, Washington",0.4510,3.62,9.38,14.96,23.24,48.80,21.13,53,007
"Rock County, Wisconsin",0.4150,4.25,10.09,16.18,24.03,45.45,18.77,55,105
"Waushara County, Wisconsin",0.4318,4.14,9.81,15.66,23.24,47.14,20.97,55,137
"Adams County, Wisconsin",0.4342,4.50,9.62,15.21,22.80,47.88,21.41,55,001
"Bayfield County, Wisconsin",0.4168,4.23,9.95,16.28,23.87,45.68,18.66,55,007
"Lafayette County, Wisconsin",0.4088,4.22,10.37,16.75,23.75,44.91,18.84,55,065
"Monroe County, Wisconsin",0.3979,4.42,10.67,16.80,24.08,44.02,17.68,55,081
"Pierce County, Wisconsin",0.3986,4.47,10.56,16.74,24.12,44.10,17.57,55,093
"Wood County, Wisconsin",0.4218,4.30,10.03,15.77,23.58,46.32,19.83,55,141
"Ashland County, Wisconsin",0.4322,3.98,9.41,15.72,23.98,46.91,19.29,55,003
"Calumet County, Wisconsin",0.3943,4.62,10.76,16.90,24.19,43.53,18.38,55,015
"Florence County, Wisconsin",0.4850,3.47,9.12,14.34,20.36,52.71,27.67,55,037
"Clark County, Wisconsin",0.4159,4.45,10.21,16.04,23.36,45.93,19.72,55,019
"Jefferson County, Wisconsin",0.3976,4.60,10.53,16.71,24.08,44.07,17.58,55,055
"Kenosha County, Wisconsin",0.4394,3.75,9.41,15.53,23.73,47.59,19.77,55,059
"Iron County, Wisconsin",0.4467,3.90,9.33,15.19,23.08,48.51,21.51,55,051
"St. Croix County, Wisconsin",0.3935,4.80,10.86,16.67,23.61,44.05,18.16,55,109
"Oconto County, Wisconsin",0.3952,4.55,10.58,16.60,24.42,43.85,16.59,55,083
"Lincoln County, Wisconsin",0.3938,4.44,10.56,16.79,24.79,43.42,16.48,55,069
"Waupaca County, Wisconsin",0.4155,4.32,10.08,16.26,23.57,45.76,19.25,55,135
"Barron County, Wisconsin",0.4359,4.24,9.67,15.43,22.90,47.75,21.49,55,005
"Sawyer County, Wisconsin",0.5057,3.42,8.08,13.47,21.02,54.01,29.05,55,113
"Green Lake County, Wisconsin",0.4102,4.50,10.14,16.17,23.92,45.27,18.53,55,047
"Marquette County, Wisconsin",0.3935,4.77,10.49,16.50,24.46,43.78,16.67,55,077
"Marinette County, Wisconsin",0.4228,4.07,9.68,16.04,24.09,46.11,18.64,55,075
"Racine County, Wisconsin",0.4314,3.92,9.48,15.75,23.94,46.91,19.04,55,101
"Winnebago County, Wisconsin",0.4717,3.83,8.97,14.51,21.65,51.04,26.04,55,139
"Forest County, Wisconsin",0.4215,3.98,10.00,16.18,23.94,45.90,19.12,55,041
"Grant County, Wisconsin",0.4116,4.10,10.16,16.45,24.27,45.02,17.88,55,043
"Rusk County, Wisconsin",0.4146,4.27,10.32,16.15,23.49,45.77,18.92,55,107
"Sheboygan County, Wisconsin",0.4092,4.61,10.21,16.23,23.64,45.31,18.86,55,117
"Langlade County, Wisconsin",0.4078,4.18,10.33,16.38,24.51,44.60,17.84,55,067
"Outagamie County, Wisconsin",0.4137,4.46,10.18,16.01,23.66,45.70,19.00,55,087
"Vernon County, Wisconsin",0.4528,3.61,9.15,15.33,23.25,48.66,22.19,55,123
"Columbia County, Wisconsin",0.4056,4.47,10.40,16.49,23.77,44.87,18.39,55,021
"Kewaunee County, Wisconsin",0.3956,4.18,10.68,17.29,24.59,43.26,17.22,55,061
"Brown County, Wisconsin",0.4317,4.07,9.75,15.64,23.42,47.12,20.35,55,009
"Marathon County, Wisconsin",0.4421,4.12,9.50,15.39,22.82,48.17,22.31,55,073
"Oneida County, Wisconsin",0.4519,4.14,9.41,14.77,22.25,49.42,23.36,55,085
"Trempealeau County, Wisconsin",0.3970,4.62,10.40,16.58,24.38,44.02,16.92,55,121
"Washburn County, Wisconsin",0.4543,3.69,9.52,14.96,22.78,49.05,23.14,55,129
"Dodge County, Wisconsin",0.3972,4.74,10.59,16.61,24.05,44.01,18.42,55,027
"Walworth County, Wisconsin",0.4310,3.75,9.89,15.89,23.63,46.83,19.79,55,127
"Crawford County, Wisconsin",0.4345,4.06,9.79,15.52,23.24,47.39,21.16,55,023
"Manitowoc County, Wisconsin",0.4062,4.52,10.29,16.23,24.06,44.89,17.93,55,071
"Sauk County, Wisconsin",0.4150,4.42,9.96,16.14,23.92,45.56,18.91,55,111
"Burnett County, Wisconsin",0.4195,3.95,10.24,16.31,23.70,45.80,19.32,55,013
"Chippewa County, Wisconsin",0.4072,4.49,10.15,16.38,24.12,44.86,18.12,55,017
"Door County, Wisconsin",0.4384,4.35,9.83,15.24,22.15,48.43,22.48,55,029
"Douglas County, Wisconsin",0.4133,4.10,10.07,16.12,24.69,45.01,17.54,55,031
"Jackson County, Wisconsin",0.4128,4.29,10.02,16.38,24.10,45.21,18.47,55,053
"Iowa County, Wisconsin",0.4311,4.22,9.95,15.52,23.04,47.27,21.30,55,049
"Ozaukee County, Wisconsin",0.4857,3.46,8.64,14.17,21.06,52.68,25.84,55,089
"Richland County, Wisconsin",0.3964,4.48,10.64,16.68,24.26,43.94,17.16,55,103
"Campbell County, Wyoming",0.3865,3.96,10.80,17.98,25.26,42.00,15.81,56,005
"Johnson County, Wyoming",0.4895,2.87,8.25,14.16,23.25,51.49,25.66,56,019
"Natrona County, Wyoming",0.4365,4.06,9.64,15.38,23.33,47.59,20.82,56,025
"Converse County, Wyoming",0.3973,4.64,10.28,16.35,25.04,43.68,16.85,56,009
"Niobrara County, Wyoming",0.4539,3.36,8.78,14.77,24.29,48.80,18.67,56,027
"Teton County, Wyoming",0.4879,3.75,9.06,13.32,20.07,53.80,27.09,56,039
"Sweetwater County, Wyoming",0.4127,3.62,10.43,17.04,24.37,44.53,18.76,56,037
"Platte County, Wyoming",0.4635,4.27,8.53,13.82,23.20,50.18,23.60,56,031
"Park County, Wyoming",0.4437,4.21,10.26,15.26,21.14,49.13,24.80,56,029
"Sheridan County, Wyoming",0.4383,4.03,9.33,15.21,23.65,47.78,19.83,56,033
"Big Horn County, Wyoming",0.3985,4.29,9.97,17.08,25.10,43.57,15.85,56,003
"Crook County, Wyoming",0.4387,3.94,9.46,15.76,23.15,47.69,20.76,56,011
"Albany County, Wyoming",0.4667,3.01,8.31,14.93,24.37,49.37,19.94,56,001
"Carbon County, Wyoming",0.4106,3.75,9.79,16.64,25.58,44.24,15.69,56,007
"Goshen County, Wyoming",0.4219,4.38,9.82,15.26,24.25,46.28,18.90,56,015
"Uinta County, Wyoming",0.4002,4.17,10.07,16.58,25.48,43.70,15.09,56,041
"Washakie County, Wyoming",0.3898,5.07,11.09,16.44,23.44,43.96,18.57,56,043
"Hot Springs County, Wyoming",0.4246,3.91,9.63,15.70,25.08,45.68,18.42,56,017
"Fremont County, Wyoming",0.4298,4.08,9.84,15.33,23.66,47.09,19.36,56,013
"Sublette County, Wyoming",0.3580,5.05,11.21,18.14,25.50,40.09,14.24,56,035
"Weston County, Wyoming",0.4284,3.55,9.54,15.53,25.47,45.92,17.18,56,045
"Hatillo Municipio, Puerto Rico",0.5175,2.24,7.44,12.56,23.16,54.60,22.63,72,065
"Humacao Municipio, Puerto Rico",0.5308,2.15,7.80,13.09,21.14,55.82,28.37,72,069
"Morovis Municipio, Puerto Rico",0.4698,2.40,9.40,14.99,22.98,50.24,20.82,72,101
"Mayag�ez Municipio, Puerto Rico",0.6106,0.35,5.06,11.26,21.36,61.98,31.28,72,097
"Trujillo Alto Municipio, Puerto Rico",0.4887,2.62,8.02,14.56,23.26,51.55,22.43,72,139
"Quebradillas Municipio, Puerto Rico",0.5155,2.22,7.45,13.32,23.05,53.96,23.52,72,115
"Moca Municipio, Puerto Rico",0.5594,1.06,6.91,12.31,21.98,57.74,27.58,72,099
"Culebra Municipio, Puerto Rico",0.4175,3.88,8.81,17.14,25.55,44.62,16.34,72,049
"Salinas Municipio, Puerto Rico",0.4800,2.06,8.63,14.66,23.89,50.76,19.55,72,123
"Barceloneta Municipio, Puerto Rico",0.4961,1.89,7.54,14.38,24.32,51.86,19.26,72,017
"Yauco Municipio, Puerto Rico",0.5118,1.57,7.26,13.87,24.26,53.04,20.65,72,153
"Guaynabo Municipio, Puerto Rico",0.5749,1.90,5.60,11.25,20.88,60.36,28.51,72,061
"Cabo Rojo Municipio, Puerto Rico",0.5359,1.53,7.07,12.82,22.61,55.96,24.18,72,023
"Fajardo Municipio, Puerto Rico",0.5259,1.57,7.61,13.56,22.60,54.65,24.68,72,053
"Patillas Municipio, Puerto Rico",0.5057,2.29,7.97,13.92,22.16,53.65,22.86,72,109
"Rinc�n Municipio, Puerto Rico",0.4746,2.28,8.09,15.63,24.67,49.33,20.21,72,117
"Aguas Buenas Municipio, Puerto Rico",0.5356,1.64,7.20,12.99,22.69,55.47,25.98,72,007
"Bayam�n Municipio, Puerto Rico",0.4980,2.01,7.78,14.40,24.11,51.70,21.90,72,021
"Cayey Municipio, Puerto Rico",0.4957,2.49,8.00,13.87,22.96,52.68,21.49,72,035
"Maunabo Municipio, Puerto Rico",0.4721,2.60,9.21,15.09,22.86,50.25,21.49,72,095
"Pe�uelas Municipio, Puerto Rico",0.4733,3.09,8.36,14.50,23.82,50.24,21.58,72,111
"San Sebasti�n Municipio, Puerto Rico",0.5262,1.50,7.49,13.35,23.14,54.52,24.17,72,131
"Toa Alta Municipio, Puerto Rico",0.4994,2.15,7.84,13.87,23.68,52.45,21.32,72,135
"Vieques Municipio, Puerto Rico",0.4542,3.40,8.87,14.11,25.22,48.40,18.52,72,147
"Yabucoa Municipio, Puerto Rico",0.5104,1.46,7.84,13.98,23.59,53.12,22.08,72,151
"Caguas Municipio, Puerto Rico",0.5204,1.91,7.31,13.47,23.01,54.29,23.93,72,025
"Can�vanas Municipio, Puerto Rico",0.5351,1.83,7.31,12.69,22.66,55.51,26.40,72,029
"Coamo Municipio, Puerto Rico",0.5100,1.69,7.24,14.30,24.00,52.77,21.46,72,043
"Dorado Municipio, Puerto Rico",0.5563,1.67,6.49,12.22,21.70,57.92,27.38,72,051
"Barranquitas Municipio, Puerto Rico",0.4921,2.50,7.41,14.00,24.90,51.18,20.78,72,019
"Orocovis Municipio, Puerto Rico",0.5515,0.77,6.57,13.16,23.55,55.95,25.91,72,107
"A�asco Municipio, Puerto Rico",0.4697,2.98,8.55,14.39,24.26,49.81,20.29,72,011
"Ceiba Municipio, Puerto Rico",0.5624,2.46,7.20,12.01,19.36,58.96,34.95,72,037
"Comer�o Municipio, Puerto Rico",0.5215,0.94,7.10,14.31,23.82,53.83,20.62,72,045
"Isabela Municipio, Puerto Rico",0.4976,1.99,7.92,14.16,24.02,51.92,21.47,72,071
"Lares Municipio, Puerto Rico",0.5523,0.67,6.44,13.16,23.39,56.34,24.55,72,081
"Las Piedras Municipio, Puerto Rico",0.5082,1.78,7.79,14.15,23.58,52.70,23.19,72,085
"San Juan Municipio, Puerto Rico",0.6179,0.77,5.07,10.55,20.17,63.45,33.34,72,127
"Vega Alta Municipio, Puerto Rico",0.5572,1.93,7.01,11.69,20.54,58.83,28.78,72,143
"Maricao Municipio, Puerto Rico",0.4770,1.16,7.74,16.10,26.83,48.16,16.61,72,093
"Aibonito Municipio, Puerto Rico",0.4789,2.81,8.75,14.53,22.82,51.09,22.61,72,009
"Juncos Municipio, Puerto Rico",0.4773,1.85,8.24,14.97,25.42,49.51,17.71,72,077
"Sabana Grande Municipio, Puerto Rico",0.4993,2.43,8.15,13.42,23.18,52.81,22.20,72,121
"Hormigueros Municipio, Puerto Rico",0.4952,2.86,7.78,14.03,23.17,52.16,23.97,72,067
"Adjuntas Municipio, Puerto Rico",0.5259,0.98,7.08,13.67,24.51,53.76,21.40,72,001
"Camuy Municipio, Puerto Rico",0.5404,1.75,7.51,12.58,21.40,56.76,26.90,72,027
"Gu�nica Municipio, Puerto Rico",0.5130,1.15,7.97,14.49,23.26,53.13,22.27,72,055
"Manat� Municipio, Puerto Rico",0.5183,1.49,7.20,13.72,23.82,53.77,21.52,72,091
"Naguabo Municipio, Puerto Rico",0.4467,2.71,9.83,15.41,23.87,48.18,17.51,72,103
"Naranjito Municipio, Puerto Rico",0.4776,2.24,7.99,15.01,24.84,49.91,18.42,72,105
"San Germ�n Municipio, Puerto Rico",0.5435,1.64,6.92,12.85,21.75,56.85,26.56,72,125
"Utuado Municipio, Puerto Rico",0.5071,1.16,7.59,14.88,24.60,51.78,21.44,72,141
